title,genre,cast,director,story_tags,mood_tag,goal_tag,poster_url
Avatar,Action | Adventure | Fantasy | Science Fiction,Sam Worthington | Zoe Saldana | Sigourney Weaver | Stephen Lang | Michelle Rodriguez,James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",neutral,general,http://www.avatarmovie.com/
Pirates of the Caribbean: At World's End,Adventure | Fantasy | Action,Johnny Depp | Orlando Bloom | Keira Knightley | Stellan Skarsgård | Chow Yun-fat,Gore Verbinski,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",neutral,general,http://disney.go.com/disneypictures/pirates/
Spectre,Action | Adventure | Crime,Daniel Craig | Christoph Waltz | Léa Seydoux | Ralph Fiennes | Monica Bellucci,Sam Mendes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",excited,general,http://www.sonypictures.com/movies/spectre/
The Dark Knight Rises,Action | Crime | Drama | Thriller,Christian Bale | Michael Caine | Gary Oldman | Anne Hathaway | Tom Hardy,Christopher Nolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",sad,general,http://www.thedarkknightrises.com/
John Carter,Action | Adventure | Science Fiction,Taylor Kitsch | Lynn Collins | Samantha Morton | Willem Dafoe | Thomas Haden Church,Andrew Stanton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",sad,general,http://movies.disney.com/john-carter
Spider-Man 3,Fantasy | Action | Adventure,Tobey Maguire | Kirsten Dunst | James Franco | Thomas Haden Church | Topher Grace,Sam Raimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",happy,relationships,http://www.sonypictures.com/movies/spider-man3/
Tangled,Animation | Family,Zachary Levi | Mandy Moore | Donna Murphy | Ron Perlman | M.C. Gainey,Byron Howard,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",excited,entertainment,http://disney.go.com/disneypictures/tangled/
Avengers: Age of Ultron,Action | Adventure | Science Fiction,Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo | Chris Evans | Scarlett Johansson,Joss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",excited,entertainment,http://marvel.com/movies/movie/193/avengers_age_of_ultron
Harry Potter and the Half-Blood Prince,Adventure | Fantasy | Family,Daniel Radcliffe | Rupert Grint | Emma Watson | Tom Felton | Michael Gambon,David Yates,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",sad,general,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html
Batman v Superman: Dawn of Justice,Action | Adventure | Fantasy,Ben Affleck | Henry Cavill | Gal Gadot | Amy Adams | Jesse Eisenberg,Zack Snyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",sad,general,http://www.batmanvsupermandawnofjustice.com/
